Titel,Status,Kategorie,ID,Datum,Beschreibung,Adresse,Koordinaten,Logbucheinträge
ID 752,Kein Status,Straßen  🚧,752,"15.03.2025, 07:20","Der Fußweg ist mittlerweile so beschädigt,  dass Sturz- und Verletzungsgefahr besteht.","Elisabethstraße 23, 26135 Oldenburg","53.132, 8.2122","17.03.2025, 10:29: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 17.03.2025, 10:29: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 750,Kein Status,Straßen  🚧,750,"14.03.2025, 18:34","Scharfe Abbruchkante ragt in den Radweg in Höhe des Neubau in der Planckstraße (Radweg zur Wilhelm Kempin Straße), grade im Dunklen eine Stolpergefahr!","Planckstraße, 26133 Oldenburg","53.1039, 8.2208","17.03.2025, 10:26: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 17.03.2025, 10:25: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 745,Kein Status,Wilde Müllkippe 🧹,745,"14.03.2025, 10:29","Am Stubbenweg wird aus einer gewerblichen Renovierung immer wieder Sperrmüll abgelegt. Der liegt dort wochenlang, teils vermischt mit Hausmüll, der sich durch den Wind dann in der Umgebung verteilt. Die Teile ragen bis in den Fußweg.","Stubbenweg 30, 26125 Oldenburg","53.1795, 8.2281","19.03.2025, 11:42: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 19.03.2025, 11:36: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 743,Kein Status,Ampel 🚦,743,"14.03.2025, 09:54","Die Ampelschaltung ist für Fußgänger viel zu kurz und gar nicht an Fußgänger überhaupt angepasst, damit sie die nächste Ampel erreichen.","Pferdemarkt 15, 26121 Oldenburg","53.147, 8.2148","14.03.2025, 10:57: Geschlossen; 14.03.2025, 10:38: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.03.2025, 10:38: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 742,Kein Status,Ampel 🚦,742,"14.03.2025, 07:58","von Stillerweg kommend Richtung Johann-Justus-Weg, sind an der Kreuzung Infanterieweg/Stillerweg/Johann-Justus-Weg, die Ampeln komplett ausgefallen. Weder für Autos noch für Fußgänger funktioniert es. Dies ist seit gestern Abend der Fall.",26129 Oldenburg,"53.1515, 8.1914","14.03.2025, 10:39: Der Mangel wurde bearbeitet.; 14.03.2025, 10:35: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.03.2025, 10:35: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 741,Kein Status,Wilde Müllkippe 🧹,741,"14.03.2025, 07:02",Es hst hier jemand einen Kinderwagen entsorgt und vor unser Haus geworfen.,"Tannenbergstraße 2, 26127 Oldenburg","53.1598, 8.1811","18.03.2025, 10:03: Der Mangel wurde beseitigt.17.03.2025; 17.03.2025, 07:39: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 17.03.2025, 07:39: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 740,Kein Status,Straßen  🚧,740,"13.03.2025, 19:55",Mehrere Schlaglöcher im Asphalt.,"Staulinie, 26122 Oldenburg","53.1416, 8.2155","14.03.2025, 10:40: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.03.2025, 10:40: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 739,Kein Status,Wilde Müllkippe 🧹,739,"13.03.2025, 15:48",Gegenüber vom Waldmannsweg direkt neben der Bushaltestelle wurden mehrere große Gegenstände abgelegt. Diese nehmen viel Platz auf dem Bürgersteig ein.,"Bümmersteder Tredde, 26133 Oldenburg","53.0971, 8.2384","14.03.2025, 09:55: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 738,Kein Status,Straßen  🚧,738,"13.03.2025, 12:35",Ein unangemeldeter Anhänger steht am Straßenrand.,"Osterkampsweg, 26131 Lower Saxony","53.1261, 8.1404","14.03.2025, 11:04: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.03.2025, 11:04: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 737,Kein Status,Wilde Müllkippe 🧹,737,"13.03.2025, 11:30","Schramperweg 52 und gegenüberliegende Einfahrt zur Grundschule liegen Grünabfälle und Restmüll.
Der Mangel wurde bereits gemeldet. Siehe Text unten ...
 
Sehr geehrte/r Nutzer/in,

Sie haben eine Mängelmeldung unter https://gemeinsam.oldenburg.de/oldenburg/de/home eingetragen. Diese wurde zur weiteren Bearbeitung an AWB | Abfallwirtschaftsbetrieb, Oldenburg, stadtsauberkeit@awb-oldenburg.de weitergleitet.

Die Meldung ist hier aufrufbaren: https://gemeinsam.oldenburg.de/oldenburg/de/flawRep/54305/flaw/15837

Über den weiteren Bearbeitungsstatus informieren wir per E-Mail.
   
Liebe Grüße,
dein GEMEINSAM OLDENBURG Team","Schramperweg 57, 26129 Oldenburg","53.1372, 8.1547","14.03.2025, 10:11: MMangel wurde an den Hausmeister weitergeleitet.; 14.03.2025, 07:42: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.03.2025, 07:41: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 733,Kein Status,Wilde Müllkippe 🧹,733,"13.03.2025, 00:26","Wenn man von der Ammergaustr. aus Richtung Nadorster Str. kommt und dann nach links in den Hochheider Weg fahrt, da hinter der Brücke ist an der linken Seite bei den Containern sehr viel Unrat zu sehen!
War im vorbeifahren im 1/2 dunkeln  zwischen den Containern und dahinter einiges zu sehen!

Bitte entsorgen!","Hochheider Weg, 26123 Oldenburg","53.1624, 8.2323","13.03.2025, 08:00: Der Müll wird im Rahmen der Stellplatzreinigung beseitigt."
ID 732,Kein Status,Wilde Müllkippe 🧹,732,"12.03.2025, 17:58",Sperrmüll ohne Ende. Ca 8cbm mit steigender Tendens. Es besteht Gefahr für den Fahrradweg mit der Bushaltestelle. Teilweise liegt der Sperrmüll schon auf der Strasse. Entwickelt sich rasend schnell zu einer illegalen Müllkippe. Ich bitte um eine zügige Entsorgung.,"Bümmersteder Tredde, 26133 Oldenburg","53.0949, 8.2235","13.03.2025, 06:45: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 13.03.2025, 06:44: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 726,Kein Status,Verkehrszeichen ⚠️,726,"11.03.2025, 23:56","In ganz Bornhorst sind die Leitpfähle an der Elsflether Str. seit Monaten total Schwarz vom Dreck!
Auch die Schilder in der Kurve Richtung Stadt/Ohmstede!
Die müssen  dringend gereinigt werden.
Verkehrssicherheit ist da nicht mehr durch möglich!","Elsflether Straße, 26125 Lower Saxony","53.1675, 8.3011","13.03.2025, 11:51: Der Mangel wurde bearbeitet.; 12.03.2025, 09:40: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 12.03.2025, 09:40: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 725,Kein Status,Wilde Müllkippe 🧹,725,"11.03.2025, 17:13",große Scheiben (Glas) liegen im Gras - Gegenüber KaiserFahrschule am Spazierweg,"August-Wilhelm-Kühnholz-Straße, 26135 Oldenburg","53.1029, 8.2554","17.03.2025, 08:36: Mangel wurde beseitigt. 13.03.2025"
ID 724,Kein Status,Straßen  🚧,724,"11.03.2025, 12:59","Auf dem kleinen öffentlichen Parkplatz am Ende der Erich-Kästner-Strasse steht erneut ein nicht angemeldetes Fahrzeug.
Das ist nun innerhalb weniger Wochen schon das vierte Mal.
In den anderen Fällen wurde eine rote Karte an die Frontscheibe geheftet mit der Aufforderung, das Fahrzeug zu entfernen. Das hat bisher auch immer geklappt.
Müsste dieses Mal wohl auch erfolgen.
Es wäre sicher sinnvoll, dem Besitzer mitzuteilen, dass hier kein Schrottplatz für KFZs ist und eine Strafe für den Wiederholungsfall anzukündigen.","Erich-Kästner-Straße 12, 26133 Oldenburg","53.0986, 8.2102","11.03.2025, 15:25: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 11.03.2025, 15:25: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 723,Kein Status,Straßen  🚧,723,"11.03.2025, 09:26",Schaden an Verkehrsinsel,"Edewechter Landstraße 56, 26131 Oldenburg","53.1297, 8.1804","11.03.2025, 11:44: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 11.03.2025, 11:44: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 722,Kein Status,Wilde Müllkippe 🧹,722,"11.03.2025, 08:32","Vor der Grundschule Drielake neben der Litfaßsäule liegt seit 3 Monaten ein Haufen Weihnachtsbäume, der auf Abholung wartet.","Schulstraße 21, 26135 Oldenburg","53.1354, 8.2349","17.03.2025, 08:37: Mangel wurde beseitigt.; 11.03.2025, 12:10: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 11.03.2025, 12:10: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 721,Kein Status,Ampel 🚦,721,"11.03.2025, 02:48","Wenn man vom Prinzessinweg nach links schaut, höhe Burger King/Aral Tankstelle, da steht der Pfahl der Ampel schief Richtung Prinzessinweg/ Muss Wessels Bäckerei!

Muß gerichtet werden.","Prinzessinweg, 26122 Oldenburg","53.1335, 8.1912","11.03.2025, 12:25: Fall geschlossen; 11.03.2025, 11:40: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 11.03.2025, 11:40: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 718,Kein Status,Verkehrszeichen ⚠️,718,"10.03.2025, 14:06","siehe Foto, nicht mehr lesbares Hinweisschild","Kanalstraße, 26135 Oldenburg","53.1375, 8.2237","10.03.2025, 14:40: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 14:40: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 717,Kein Status,Straßen  🚧,717,"10.03.2025, 14:05","siehe Foto, beschädigte Durchfahrtsperre","Huntestraße 24, 26135 Oldenburg","53.1401, 8.222","17.04.2025, 11:24: Der Mangel wurde bearbeitet.; 10.03.2025, 15:09: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 15:09: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 716,Kein Status,Verkehrszeichen ⚠️,716,"10.03.2025, 14:03","siehe Foto, am Maschinenhaus des Schöpfwerks am Staukreisel, defektes Schild","Stau, 26122 Oldenburg","53.1402, 8.2194","09.04.2025, 07:47: Vielen Dank für die Meldung. Der beschriebene Schaden wurde vom zuständigen Amt behoben.; 10.03.2025, 14:35: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 14:35: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 715,Bearbeitet,Wilde Müllkippe 🧹,715,"10.03.2025, 13:31",Rund um der Trafostation in der Wehdestraße liegt noch der Müll und das Laub aus dem Herbst. Vielen Dank für Ihre Bemühungen.,"Wehdestraße 24, 26125 Oldenburg","53.1496, 8.2397","11.03.2025, 10:19: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 10.03.2025, 15:18: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 15:17: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 714,Kein Status,Wilde Müllkippe 🧹,714,"10.03.2025, 11:20","An der Bahnhofsalle hängen noch Wahlplakate der Partei MLPD.
Bitte entfernen","Bahnhofsallee 451, 26133 Oldenburg","53.0978, 8.2395","10.03.2025, 12:22: Für das Auf- und Abhängen der Wahlplakate sind die Parteien zuständig. Wir haben die Parteien bereits darüber informiert, dass noch Wahlplakate im öffentlichen Verkehrsraum hängen und werden Ihren Hinweis entsprechend weitergeben. Sie können sich aber auch direkt an die zuständige Partei wenden.; 10.03.2025, 11:24: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 11:24: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 713,Kein Status,Straßen  🚧,713,"10.03.2025, 08:35","Ein Kantstein des Gehweges Höhe Eßkamp 84 a-d steht ca. 5 cm hoch. Hier besteht Sturzgefahr, besonders im Dunkeln, für Bewohner, Lieferanten/Zusteller und Besucher.","Eßkamp 84, 26127 Oldenburg","53.1705, 8.218","31.03.2025, 10:57: Der Mangel wurde bearbeitet.; 10.03.2025, 14:19: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 14:19: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 712,Kein Status,Wilde Müllkippe 🧹,712,"10.03.2025, 07:55",Hallo und schön wieder ein vollkommen vermüllter Sammelplatz Rauhehorst bei der Autobahnbrücke,"Rauhehorst 21b, 26121 Oldenburg","53.1574, 8.1979","10.03.2025, 08:45: Der Mangel wird im Ramhen der Stellplatzreinigung beseitigt."
ID 711,Kein Status,"Öffentliches Grün, Parkanlagen 🌲",711,"09.03.2025, 19:01","Am Beginn des Schotterweges zu den Grünflächen, abgehend vom Sylter Ring, sind die Abfalleimer konstant überfüllt (beliebte Hunderoute), sodass Müll teilweise neben den Mülleimern zu finden ist und leider auch auf den Grünflächen.","Poeler Ring 27, 26131 Oldenburg","53.1296, 8.1638","10.03.2025, 10:14: Vielen Dank für die Meldung! Der Schaden wird in Kürze beseitigt.; 10.03.2025, 08:22: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 08:21: AWB ist nicht zuständig, wir leiten den Mangel weiter.; 10.03.2025, 07:32: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 07:31: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 710,Kein Status,Wilde Müllkippe 🧹,710,"09.03.2025, 13:20",Unbeschädigter Einkaufswagen (Aldi) seit mehreren Tagen am Übergang Meerweg/Franz-Marc-Str. abgestellt.,"Franz-Marc-Straße, 26133 Oldenburg","53.1036, 8.2218","10.03.2025, 08:12: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 08:11: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 709,Kein Status,Wilde Müllkippe 🧹,709,"09.03.2025, 08:21","Jemand hat in der Hecke, rechts neben dem Sperrbalken ganz viele Zigaretten entsorgt.",26135 Oldenburg,"53.1125, 8.247","12.03.2025, 08:09: Mangel wurde beseitigt."
ID 708,Kein Status,Straßen  🚧,708,"08.03.2025, 23:21","Siehe Foto, am Anfang der Hafenpromenade,  gerade restaurierter Ladekran wieder beschmiert … „Narrenhände beschmieren Tisch und Wände“","Hafenpromenade, 26122 Oldenburg","53.1406, 8.2209","04.04.2025, 12:53: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 706,Kein Status,Wilde Müllkippe 🧹,706,"08.03.2025, 20:47","wenn man aus Bornhorst Richtung Wesermarsch übern Deich fährt( Schwimmende Inseln) da liegen 4 Autoreifen in  wohl 2 Größen übereinander an dem Parkplatz auf der rechten Seite!
 rechts/ Mitte  an der Leitplatte!
Müssen entsorgt werden, das da Autos parken und wenden können!","Elsflether Straße 234, 26125 Oldenburg","53.1693, 8.275","17.03.2025, 08:33: Mangel wurde beseitigt.13.03.2025; 10.03.2025, 07:32: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 07:32: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 704,Kein Status,Straßen  🚧,704,"08.03.2025, 20:43","Auf höhe des Restaurant Mykonos ist in der Mitte der Spur der Asphalt eingesackt!
Was nun schon seit etlichen Monaten nicht behoben wurde!
Letztes Jahr schonmal provisorisch gerichtet war!
Und nun steht da der Asphalt mind. 10-15 cm als Spitze hoch!

Da muß irgendwas unterm Asphalt sein, das es da immer wieder zu so Problemen kommt!

Das muß sofort gerichtet werden, da es eine große Gefahr ist für alle Verkehrsteilnehmer!","Elsflether Straße, 26125 Lower Saxony","53.1675, 8.3011","10.03.2025, 11:34: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 11:34: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 703,Kein Status,Wilde Müllkippe 🧹,703,"08.03.2025, 17:26",Links vor dem großen Tor des ehemaligen Abfallwirtschaftsbetriebes (Utkiek),"Zufahrt ehem. Deponie Eidechsenstrasse, 26133 Oldenburg","53.119, 8.2244","12.03.2025, 08:10: Mangel wurde beseitigt."
ID 699,Kein Status,Wilde Müllkippe 🧹,699,"07.03.2025, 12:32",Auf und an dem Verbindungsweg auf der Karlstraße zwischen Vierol oder der BFE befindet sich einiges an Abfall. Vielen Dank für Ihre Bemühungen...,"Karlstraße 19, 26123 Oldenburg","53.1458, 8.2231","10.03.2025, 08:36: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 07:33: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.03.2025, 07:32: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 695,Kein Status,Wilde Müllkippe 🧹,695,"06.03.2025, 16:53",Tote Ratte am Straßenrand auf öffentlichem Grün; Bitte um Entfernung und Aufnahme im Rattenmonitoring,"Hochheider Weg, 26123 Oldenburg","53.1582, 8.2253","12.03.2025, 08:11: Mangel wurde beseitigt.; 07.03.2025, 06:43: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 07.03.2025, 06:43: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 693,Kein Status,Wilde Müllkippe 🧹,693,"06.03.2025, 16:46","Diverser Müll mit vielen Lebensmittelresten auf mehrere qm verteilt bei der Autobahnbrücke an der Bremer Heerstr./Ecke Ostweg auf der Nordseite (Fahrtrichtung stadteinwärts), siehe Foto.","Bremer Heerstraße 215, 26135 Oldenburg","53.1231, 8.2517","12.03.2025, 08:04: Mangel wurde beseitigt.; 07.03.2025, 06:42: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 07.03.2025, 06:42: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 691,Kein Status,Verkehrszeichen ⚠️,691,"06.03.2025, 11:17","Kleine Hamheide, Ecke Große Hamheide liegt ein HV-Schild im Graben, scheint abgesagt zu sein.","Kleine Hamheide, 26125 Oldenburg","53.178, 8.2683","19.03.2025, 09:29: Vielen Dank für die Meldung. Der beschriebene Schaden wurde vom zuständigen Amt behoben.; 07.03.2025, 10:54: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 07.03.2025, 10:54: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 685,Kein Status,Ampel 🚦,685,"06.03.2025, 09:57","Die Ampel Hauptstraße/Hundsmühler Straße (Lage: stadteinwärts nach Rewe, Kurve zur Hundsmühler Str., unter der Autobahn) ist noch immer mit einer dicken, grauen Plane abgehängt.","A 28, 26122 Oldenburg","53.133, 8.1931","07.03.2025, 09:42: Fall geschlossen; 06.03.2025, 09:58: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 06.03.2025, 09:58: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 684,Kein Status,Wilde Müllkippe 🧹,684,"05.03.2025, 22:47","Vor den Hausnummern 9 und 10 liegt Müll, Essensreste und Unrat, was Ungeziefer anlockt.","Butenweg, 26135 Oldenburg","53.1335, 8.2816","12.03.2025, 08:06: Mangel wurde beseitigt.; 06.03.2025, 06:49: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 06.03.2025, 06:49: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 683,Kein Status,Straßen  🚧,683,"05.03.2025, 22:44",Mehrere (tiefe) Schlaglöcher links und rechts in der Kurve Bittersweg. Warum wird hier nicht asphaltiert? Bitte ausbessern und beheben,"Bittersweg, 26135 Oldenburg","53.1345, 8.2799","07.03.2025, 11:49: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 07.03.2025, 11:49: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 679,Kein Status,Straßen  🚧,679,"05.03.2025, 12:22","Schlagloch tief 
Straße defekt","Sackhofsweg 1, 26127 Oldenburg","53.1733, 8.2091","05.03.2025, 12:25: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 05.03.2025, 12:25: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 677,Kein Status,Wilde Müllkippe 🧹,677,"05.03.2025, 11:01","Wilde Müllkippe, u.a. ausgekippte und weit über den Gehweg verteilte Wandfarbe","Hochheider Weg 59, 26123 Oldenburg","53.1594, 8.2282","12.03.2025, 06:56: Die Eimer ung Kleinteile wurde beseitigt, die farbe auf den Stein lassen leider sich nicht entfernen.; 05.03.2025, 11:33: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 05.03.2025, 11:33: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 676,Kein Status,Straßen  🚧,676,"05.03.2025, 09:00",An der Sandkrugerstr. Ecke Meerweg befinden sich zwei große tiefe Schlaglöcher am Fußgängerüberweg.,"Sandkruger Straße, 26133 Oldenburg","53.0965, 8.2077","07.03.2025, 09:56: Der Mangel wurde bearbeitet.; 05.03.2025, 11:36: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 05.03.2025, 11:36: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 675,Kein Status,Wilde Müllkippe 🧹,675,"04.03.2025, 20:04","BUSHALTESTELLE Glas zertrümmert, Glasscherben liegen  immer noch großflächig zerstreut auf Fuß-und Radweg. GROßE Verletzungsgefahr. Weiter liegt jede Menge Abfall herum","Alter Postweg 125, 26133 Oldenburg","53.1033, 8.2093","12.03.2025, 06:51: Müll und Scherben auf den Fußweg wurden beseitigt.
Die Scherben von der Bushaltestelle werden von der VWG beseitigt.; 05.03.2025, 06:46: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 05.03.2025, 06:46: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 674,Kein Status,Straßen  🚧,674,"04.03.2025, 13:56",Auf dem Radweg bei der Unterführung ist durch die Baumwurzeln der Weg beschädigt.,"Gorch-Fock-Straße, 26135 Oldenburg","53.129, 8.2195","05.03.2025, 10:56: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 05.03.2025, 10:56: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 673,Kein Status,Fundräder ⚡️🚲,673,"04.03.2025, 12:18","Gegenüber dem Altenheim, vor dem Haus Hörneweg 103, 26129 Oldenburg stehen seit Jahren  ! ! mindestens 10 alte, nicht fahrbereite, verrostete Fahrräder in allen Grössen im ÖFFENTLICHEN STRASSENRAUM. Eine Rücksprache ergab, dass es sich weder um einen Fahrrtadhandel noch Werkstatt handelt.","Hörneweg, 26129 Oldenburg","53.1494, 8.1599","24.03.2025, 09:51: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 672,Kein Status,Straßen  🚧,672,"03.03.2025, 21:33","Auf der Tweelbäker Tredde befindet sich eine Absenkung von mindestens 15cm und einer Breiten von rund 80cm. Das Loch befindet sich kurz vor der Einmündung zum Diesselweg. Wenn nun Schwerlastverkehr oder Busse mit einer erlaubten Geschwindigkeit von 30kmh dieses Loch passieren, erzittern alle Häuser in der Umgebung nicht unerheblich! Wie Sie sicher wissen, liegt Krusenbusch mitten im Moor. Wir sind es gewohnt, wenn moorbedingt leichte Erschütterungen vorkommen, jedoch ist der aktuelle Umstand nicht hinnehmbar. Für eventuelle Schäden an unserem Gebäude werde ich die Stadt Oldenburg halten. 
Auch wenn in absehbarer Zeit die Tweelbäker Tredde saniert wird, sollte eine kurzfristige Beseitigung des gefährlichen Mangels möglich sein!","Tweelbäker Tredde, 26135 Oldenburg","53.1015, 8.2544","04.03.2025, 12:12: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 04.03.2025, 12:11: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 671,Kein Status,Wilde Müllkippe 🧹,671,"03.03.2025, 21:30",An vielen Stellen an und in den Gräben der Weisenmoorstraße liegt Müll herum.,"Weißenmoorstraße 143, 26125 Oldenburg","53.1796, 8.2153","04.03.2025, 08:01: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 04.03.2025, 08:01: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 670,Kein Status,Spielplätze 🧸,670,"03.03.2025, 16:39",Kettenzug ist nach wie vor schwergängig und die Kunststoffführungen sind stark abgenutzt.,"Lagerstraße 32, 26125 Oldenburg","53.1896, 8.2098","15.04.2025, 12:57: Der in der Meldung angezeigte Mangel wurde beseitigt.; 06.03.2025, 18:09: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 06.03.2025, 18:09: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 669,Kein Status,Wilde Müllkippe 🧹,669,"03.03.2025, 15:58",An der Einfahrt zum Parkplatz des Kleingartens wurde am Wochenende ein ausrangiertes Sitzmöbel /SOFA abgestellt ca. 2x1 m. Erstmals gesehen heute mittag.,"Schellsteder Weg, 26125 Oldenburg","53.1711, 8.2446","13.03.2025, 08:30: Mangel wurde beseitigt. 14.03.2025"
ID 668,Kein Status,Wilde Müllkippe 🧹,668,"03.03.2025, 13:00","Auf dem Parkplatz des Rewe Centers, Alter Postweg 125, befinden sich Glascontainer. Der Bereich vor dem Glascontainer ist wieder einmal völlig zugemüllt. Dort sind auch Schriftstücke und mehrere Kartons mit der Anschrift des vermeintlichen Verursachers zu finden (siehe Fotos). Es ärgert mich immer, dass wir zur Müllentsorgung extra zum Müllwerk in Neuenwege fahren und andere meinen, dass sie ihren Müll auf Kosten der Allgemeinheit entsorgen.","Alter Postweg 125, 26133 Oldenburg","53.1027, 8.2105","12.03.2025, 07:55: Der Platz wird durch die Stellplatzreinigung Wöchendlich gerienigt.
Der Platz ist Video überwacht."
ID 667,Kein Status,Wilde Müllkippe 🧹,667,"03.03.2025, 12:34","An der Kreuzung Bümmersteder Tredde, Ecke Dwaschweg, liegt seit Tagen dieser ""noch kleine Haufen"" Papiermüll neben der Bushaltestelle; dieser wird leider bestimmt nicht kleiner, sondern größer werden.","Bümmersteder Tredde, 26133 Oldenburg","53.0971, 8.2384","13.03.2025, 08:31: Mangel wurde beseitigt. 14.03.2025"
